Year,Inflation Rate,,
1960,0.450837269,,
1961,2.756999359,,
1962,4.263727121,,
1963,2.453620587,,
1964,6.717289719,,
1965,4.988123515,,`
1966,3.054298641,,
1967,3.18331504,,
1968,4.680851064,,
1969,7.418699186,,
1970,8.207190161,,
1971,8.961748634,,
1972,8.605817453,,
1973,11.41485039,,
1974,16.97612732,,
1975,20.87585034,,
1976,17.98569586,,
1977,13.47225529,,
1978,7.711112146,,
1979,13.29546882,,
1980,18.15446226,,
1981,20.37351107,,
1982,17.1471262,,
1983,10.44762553,,
1984,8.651110538,,
1985,5.395486202,,
1986,3.827041665,,
1987,3.159410348,,
1988,2.134569891,,
1989,4.089053882,,
1990,3.317328867,,
1991,3.210810371,,
1992,3.069998538,,
1993,1.469415224,,
1994,2.309201926,,
1995,2.524864468,,
1996,1.755744696,,
1997,1.541802023,,
1998,2.407680945,,
1999,1.629886052,,
2000,5.577632699,,
2001,4.852802796,,
2002,4.628205128,,
2003,3.492219091,,
2004,2.178546057,,
2005,2.456546929,,
2006,3.93576114,,
2007,4.885745375,,
2008,4.035688349,,
2009,-4.447546869,,
2010,-0.918388645,,
2011,2.548978302,,
2012,1.694741167,,
2013,0.515099485,,
2014,0.190916399,,
2015,-0.330959783,,
2016,0.020124774,,
2017,0.362173038,,
2018,0.471130714,,
2019,0.937842961,,
2020,-0.326183651,,
2021,2.340341134,,
2022,7.829457364,,
2023,6.299424874,,
2024,2.113449996,,
